"Class name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subclass of (rdfs:subClassOf)","Disjoint with (owl:disjointWith)","equivalent class (owl:equivalentClass)","Close to (rico:closeTo)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:Appellation","Appellation","Appellation","Denominación","A concept of any kind that is used for designating an Entity and referring to it.",,,"Concept",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:AppellationRelation","Appellation Relation","Relation d’appellation","Relación de denominación","Connects an Appellation and at least one Thing that the Appellation designates or designated. The Appellation is the source of the Relation and the Thing(s) is the target.",,,"Relation | relationHasSource  1 Appellation | relationHasTarget  min 1 Thing",,"appellationRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment). | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:AuthorityRelation","Authority Relation","Relation d’autorité","Relación de control por parte de agentes","Connects at least one Agent and at least one Thing over which the Agent has or had some authority. The Agent(s) is the source of the relation, and the Thing(s) is the target.","Use only if it is not possible to specify a narrower authority relation, for example OwnershipRelation.","Class implementation of RiC-R036 and RiC-R036i relations","Relation | relationHasSource  min 1 Agent | relationHasTarget  min 1 Thing",,"authorityRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:AuthorshipRelation","Authorship Relation","Relation de responsabilité intellectuelle","Relación de autoría","Connects at least one Record to at least one Person, Group or Position that is or was responsible for conceiving and formulating the information contained in the Record. The Record is the source of the Relation and the Person(s), Group(s) or Position(s) is the target.","To be used for a person, group or position that makes any contribution to the content of a record. Includes the person, group or position in whose name or by whose command the content may have been formulated and first instantiated (for example the person who signed the record).","Class implementation of RiC-R079 and RiC-R079i relations","CreationRelation | relationHasSource  min 1 Record | relationHasTarget  min 1 (Group or Person or Position)",,"authorshipRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:CarrierExtent","Carrier Extent","Mesure d’un support","Extensión del soporte","Number of physical units and/or physical dimensions of the carrier of an Instantiation.","In order to manage an instantiation of a record resource it is necessary to note the extent of the carrier as well as that of the instantiation itself. Whether it is necessary to note dimensions, the number of relevant units or both depends on the nature of the carrier and particular business needs.","Class implementation of RiC-A04 (Carrier Extent) attribute","Extent",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:CarrierType","Carrier Type","Type de support","Tipo de soporte","Categorization of physical material on which information is represented.","In order to manage an instantiation of a record resource, it is necessary to note the type of carrier on which the record resource is instantiated as its nature will determine the environmental storage conditions and the prerequisites for and possible ways of accessing and using the record resource.","Corresponds to RiC-A05 (Carrier Type attribute)","Type",,,,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:ChildRelation","Child Relation","Relation de filiation","Relación de filiación","Connects at least one Person to at least another Person, when the first has(ave) child(s) the second one(s). The Relation is oriented from the parent to the child: the parent is the source of the relation, and the child(ren) is the target.",,"Class implementation of RiC-R018 and RiC-R018i relations","DescendanceRelation | relationHasSource  min 1 Person | relationHasTarget  min 1 Person",,"childRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment). | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:Concept","Concept","Concept","Concepto","An idea, unit of thought, abstract cultural object or category",,,"Thing",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:ContentType","Content Type","Type de contenu","Tipo de contenido","The fundamental form of communication in which a Record or Record Part is expressed.","Content Type should not be confused with Representation Type or Carrier Type that would concern a related Instantiation since the form of communication can be independent of the representation or carrier, for example a map (content type ""cartographic image"") may be represented as a sketch (representation type ""visual"") recorded as a physical document (carrier type ""paper""). It also should not be confused with the Documentary Form Type of a Record, or Record Part, which describes a specific document form (for example a deed of sale).","Corresponds to RiC-A10 (Content Type attribute)","Type",,,,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:Coordinates","Coordinates","Coordonnées géographiques","Coordenadas de lugar","Longitudinal and latitudinal information about a Place.",,"Class implementation of RiC-A11 (Coordinates attribute)","Thing",,,,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment)."
"rico:CorporateBody","Corporate Body","Collectivité","Institución","An organized group of persons that act together as an Agent, and that has a recognized legal or social status.","Corporate body is a kind of Group (RiC-E09). By exception, within some legal contexts, a sole trader or sole proprietor may be recognized as a corporate body, even when the economic enterprise does not have additional members. Corporate bodies often have a mandate giving them the authority to act within their area(s) of competence. They will also usually act within a particular jurisdiction being governed by legal and other rule-based frameworks. A corporate body though may be constituted in a more informal manner and exist as an entity by virtue of its recognition as such by its members.","Corresponds to RiC-E11 (Corporate Body entity)","Group",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:CorporateBodyType","Corporate Body Type","Type de collectivité","Tipo de institución","Categorization of a Corporate Body.",,"Corresponds to RiC-A12 (Corporate Body Type attribute)","Type",,,,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:CorrespondenceRelation","Correspondence Relation","Relation épistolaire","Relación entre personas por correspondencia","Connects at least two Persons, when they correspond or corresponded to each other. This Relation is not oriented.",,"Class implementation of RiC-R052 and Ri052i relations","KnowingRelation | relationConnects  min 2 Person",,"correspondenceRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment). | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:CreationRelation","Creation Relation","Relation de création","Relación de creación","Connects at least one Record Resource or Instantiation to at least one Agent, when the Agent is either responsible for all or some of the content of the Record Resource, or is a contributor to the genesis or production of the Instantiation. The Record Resource or Instantiation is the source of the Relation, and the Agent(s) is the target.","Covers the definition of ""author"" in diplomatics, and any agent that makes a contribution to the intellectual content of a record resource. Can also be used for any agent that was involved in the genesis (e.g. with the role of witness, representative of the author etc.) or in the production (e.g. with the role of scribe, secretary, notary, printer etc.) of the record resource or instantiation.","Class implementation of RiC-R027 and RiC-R027i relations","OrganicProvenanceRelation | relationHasSource  min 1 (Instantiation or RecordResource) | relationHasTarget  min 1 Agent",,"creationRelation_role self",,"2023-04-19 : Removed a 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:Date","Date","Date","Fecha","Chronological information associated with an entity that contributes to its identification and contextualization.","A Date may be represented in natural language, based on a digital standard, or both. Digital standard dates will typically be based on ISO 8601, or Extended Date-Time Format (EDTF)","Corresponds to RiC-E18 (Date entity)","Thing",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote."
"rico:DateType","Date Type","Type de date","Tipo de fecha","Categorization of a Date.","May be used to categorize a Date as a single date, a date range or a date set or sub-categories of these broad types. This attribute should not be confused with the date relations defined to connect a Date entity and any other entity (such as RiC-R069 ‘is beginning date of’).","Corresponds to RiC-A42 (Date Type attribute) (new in RiC-CM 1.0).","Type",,,,"2023-09-22 : Added in RiC-O 1.0. | 2023-10-10 : Added the rdfs:comment, a French rdfs:label, and adjusted the rico:RiCCMCorrespondingComponent annotation. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote. Added a label in Spanish."
"rico:DemographicGroup","Demographic Group","Catégorie démographique","Categoría demográfica","Categorization of a Person or Group based on shared characteristics.","Can be extended with any number of specific subclasses. Among possible specific demographic groups are gender, (biological) sex, education, identity, place, ancestry, ethnic/cultural identification, and religion.","Corresponds to RiC-A15 (Demographic Group attribute)","Type",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:DerivationRelation","Derivation Relation","Relation de dérivation","Relación de derivación","Connects an Instantiation to at least one Instantiation that is derived from it, whether it exists or has been lost or destroyed. The Relation is oriented chronologically, from the first Instantiation in time to the derived Instantiation: the first Instantiation is the source of the Relation, and the derived Instantiation(s) is the target.","In some situations, it may be useful or necessary to connect an instantiation to an instantiation that was derived from it but no longer exists or has been lost.","Class implementation of RiC-R014 and RiR014i relations","InstantiationToInstantiationRelation | TemporalRelation | relationHasSource  1 Instantiation | relationHasTarget  min 1 Instantiation",,"derivationRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:DescendanceRelation","Descendance Relation","Relation de descendance","Relación de descendencia","Connects at least one Person to at least another Person, when the first has/have descendant the second one(s). The Relation is oriented from the ascendant to the descendant: the ascendant Person(s) is the source of the Relation, and the descendant Person(s) is the target.",,"Class implementation of RiC-R017 and RiC-R017i relations","AgentTemporalRelation | FamilyRelation | relationHasSource  min 1 Person | relationHasTarget  min 1 Person",,"descendanceRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:DocumentaryFormType","Documentary Form Type","Type de document","Tipo documental","Categorization of a Record or Record Part with respect to its extrinsic and intrinsic elements that together communicate its content, administrative and documentary context, and authority.","Documentary Form Type plays an important role in determining the type of information a Record may comprise, its status of perfection, and its authenticity and reliability. Documentary form types exist in a specific social and cultural context, and within that context, are subject to change over time.","Corresponds to RiC-A17 (Documentary Form Type attribute)","Type",,,,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment)."
"rico:Event","Event","Événement","Evento","Something that happens or occurs in time and space.","An event may be caused by nature, an agent, or a combination of nature and agent. Events have temporal and spatial boundaries. An event may actively involve some agent(s) and affect any entity. An event may be discrete, happening at a specific moment in time, or may occur over an extended period of time. Events may have events as parts, and events may precede or follow one another. Multiple agents may participate in the same event, and in different roles.","Corresponds to RiC-E14 (Event entity)","Thing",,,"LODE Event class (http://linkedevents.org/ontology/#Event)","2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:EventRelation","Event Relation","Relation impliquant un événement","Relación con un evento","Connects at least one Event to at least one Thing, when the first is associated with the existence and lifecycle of the second one. The Event(s) is the source of the Relation, and the Thing(s) is the target.","Use to connect an event and an entity only if it is not possible to specify a narrower event relation, for example a PerformanceRelation.","Class implementation of RiC-R057 and RiC-R057i relations","Relation | relationHasSource  min 1 Event | relationHasTarget  min 1 Thing",,"eventRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:EventType","Event Type","Type d’événement","Tipo de evento","Categorization of an Event.","Events of all kinds can be categorized. Curation event types include creation; acquisition; transfer; arrangement; description; digitization, etc. Biographical event types include birth, marriage, death, etc.","Corresponds to RiC-A18 (Event Type attribute)","Type",,,,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote."
"rico:Extent","Extent","Mesure","Extensión","Countable characteristics of the content of an entity expressed as a quantity.","Physical or logical extent of a resource",,"Thing",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:ExtentType","Extent Type","Type de mesure","Tipo de Extensión","Categorization of the extent that is being measured.",,,"Type",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-08-28 : Added an xml:lang attribute to the rdfs:comment. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:Family","Family","Famille","Familia","Two or more persons related by birth, or through marriage, adoption, civil union, or other social conventions that bind them together as a socially recognized familial group.","Family is a kind of Group. “Family” is used here as a general term that encompasses a wide variety of familial groups. Other types of familial groups include Dynasty, Clan, House, Tribe and others. Though family may be a recognized legal group in specific contexts, the term may also be used for groups that are socially recognized as families. A family may be a group of persons related either by consanguinity or affinity or cohabitation or other social conventions. In some context, a Family may be legally recognized as Corporate Body. For example, certain North American peoples (tribes) retain self-government rights and have jurisdiction over defined tribal lands.","Corresponds to RiC-E10 (Family entity)","Group",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:FamilyRelation","Family Relation","Relation familiale","Relación familiar","Connects at least two Persons, when they have some family link, i.e. belong to the same family. This Relation is a generic, not oriented one.","Use the MembershipRelation class for connecting a family and a person.","Class implementation of RiC-R047 and RiC-R047i relations","AgentToAgentRelation | relationConnects  min 2 Person",,"familyRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:FamilyType","Family Type","Type de famille","Tipo de familia","Categorization of a Family.","Encompasses a wide variety of familial groups related by consanguinity, affinity, cohabitation, or other social conventions.","Corresponds to RiC-A20 (Family Type attribute)","Type",,,,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote."
"rico:FunctionalEquivalenceRelation","Functional Equivalence Relation","Relation d’équivalence fonctionnelle","Relación de equivalencia funcional","Connects at least two Instantiations which may be considered as equivalent. This Relation is not oriented.","Two instantiations, from some point of view, may be considered as equivalent. This equivalence is usually based upon the fact that the instantiations have at least the same intellectual content (they instantiate the same record resource).","Class implementation of RiC-R035 and RiC-R035i relations","InstantiationToInstantiationRelation | relationConnects  min 2 Instantiation",,"functionalEquivalenceRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:Group","Group","Groupe d’agents","Grupo de agentes","Two or more Agents that act together as an Agent.","Group is a kind of Agent. A Group has a socially recognized identity. Each member of the Group plays a particular role or roles (that is has a particular Position) in the coordinated activity of the Group. Corporate bodies and families are kinds of groups, though other kinds of groups are possible. For example, the “electorate” -- all of the voters in a given election. Complex, large groups may be subdivided into other groups.","Corresponds to RiC-E09 (Group Entity)","Agent","Mechanism; Person; Position",,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
