"Object property name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subproperty of (rdfs:subPropertyOf)","Domain (rdfs:domain)","Range (rdsf:range)","Inverse of (owl:inverseOf)","Type (rdf:type)","Property chain axiom(s) (owl:propertyChainAxiom)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:hasOrganicProvenance","has organic provenance","a pour provenance organique","tiene como procedencia orgánica","Connects a Record Resource or an Instantiation to an Agent that creates or accumulates the Record Resource, receives it, or sends it.","This is the most general organic provenance relation. Use it to connect a Record Resource or Instantiation with an Agent only if it is not possible to use a narrower, more specific relation, for example has creator.","RiC-R026 ('has provenance' relation)","hasOrganicOrFunctionalProvenance","Instantiation ; RecordResource","Agent","isOrganicProvenanceOf","","thingIsSourceOfRelation/organicProvenanceRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-07 : Made this property a subproperty of the new hasOrganicOrFunctionalProvenance property. Renamed it to make things clearer. Adjusted its labels. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new organicProvenanceRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote."
"rico:hasOrganicProvenanceDate","has organic provenance date","a pour date de provenance organique","tiene como fecha de procedencia orgánica","Inverse of 'is date associated with organic provenance of' object property.","","","isAssociatedWithDate","Instantiation ; RecordResource","Date","isOrganicProvenanceDateOf","","thingIsSourceOfRelation/organicProvenanceRelation_role/relationHasDate","2024-12-19 : Added in RiC-O 1.1. | 2025-03-13 : Added French and Spanish labels."
"rico:hasOriginal","has original","a pour original","tiene como original","Inverse of 'is original of' object property.","","RiC-R010i ('is original of' relation)","followsInTime; hasGeneticLinkToRecordResource","Record ; RecordPart","Record ; RecordPart","isOriginalOf","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasPartTransitive","has part transitive","a pour partie transitif","tiene como parte transitivo","Connects a Thing to a Thing that is, directly or indirectly, a constitutive or component part of that Thing. This is a transitive relation.","To be used, either to infer, then query or browse, relations from existing direct 'hasDirectPart' relations between things, or to record a current partitive relation when you do not know if there are intermediate nodes between the related things.","","hasOrHadPart","Thing","Thing","isPartOfTransitive","TransitiveProperty","","2023-07-12 : Object property added, along with its inverse property, in order to enable to express current partitive relations between things (the past partitive relation also being added). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hasProductionTechniqueType","has production technique type","a pour type de technique de production","tiene como técnica de producción","Connects an Instantiation to a Production Technique Type that categorizes its production technique.","","","hasOrHadType","Instantiation","ProductionTechniqueType","isProductionTechniqueTypeOf","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasProxy","has proxy","a pour proxy","tiene como proxy","Inverse of 'proxy for' object property.","","","isRelatedTo","RecordResource","Proxy","proxyFor","","","2025-03-04 : Introduced in RiC-O 1.1 | 2025-04-02 : Added the French and Spanish labels."
"rico:hasPublicationDate","has publication date","a pour date de publication","tiene como fecha de publicación","Inverse of 'is publication date of' object property.","","","isAssociatedWithDate","RecordResource","Date","isPublicationDateOf","","","2023-09-22 : Added in RiC-O 1.0. | 2023-10-12 : Added the French label | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hasPublisher","has publisher","a pour éditeur","tiene como editor(a) a","Connects a Record resource to an Agent who published it.","","","isRelatedTo","RecordResource","Agent","isPublisherOf","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasReceiver","has receiver","est reçu par","tiene como receptor(a) a","Connects a Record Resource or an Instantiation to the Agent that receives it in the course of the Agent's activities.","","RiC-R029 ('has receiver' relation)","hasAccumulator","Instantiation ; RecordResource","Agent","isReceiverOf","","","2023-08-28 : Added a new rdfs:label in French. | 2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment)."
"rico:hasRecordSetType","has record set type","a pour type d’ensemble d’objets informationnels","tiene como tipo de agrupación documental","Connects a Record Set to a Record Set Type that categorizes it.","","","hasOrHadType","RecordSet","RecordSetType","isRecordSetTypeOf","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasRecordState","has record state","a pour état","tiene como estado de documento","Connects a Record or Record Part to a Record State that categorizes its state.","","","hasOrHadType","Record ; RecordPart","RecordState","isRecordStateOf","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasReply","has reply","a pour réponse","tiene como contestación","Connects a Record Resource to a reply, usually in the form of correspondence.","","RiC-R013 ('has reply' relation)","isRecordResourceAssociatedWithRecordResource; precedesInTime","RecordResource","RecordResource","isReplyTo","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasRepresentationType","has representation type","a pour type de représentation","tiene como tipo de grabación","Connects an Instantiation to a Representation Type that categorizes its representation type.","","","hasOrHadType","Instantiation","RepresentationType","isRepresentationTypeOf","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasSender","has sender","a pour expéditeur","tiene como remitente a","Connects a Record Resource or an Instantiation to the Agent that sends it","The identity of the sender is (usually) evidenced by the Record Resource or Instantiation itself.","RiC-R031 ('has sender' relation)","hasOrganicProvenance","Instantiation ; RecordResource","Agent","isSenderOf","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote."
"rico:hasSibling","has sibling","a pour frère ou sœur","tiene como hermano o hermana a","Connects two Persons who are siblings. This relation is symmetric.","","RiC-R048 ('has sibling' relation)","hasFamilyAssociationWith","Person","Person","","SymmetricProperty","thingIsConnectedToRelation/siblingRelation_role/relationConnects","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new siblingRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment)."
"rico:hasSubdivisionTransitive","has subdivision transitive","a pour subdivision transitif","tiene como subdivisión transitivo","Connects a Group to another Group that is one of its direct or indirect subdivisions. This is a transitive relation.","","","hasOrHadSubdivision; hasPartTransitive; hasSubordinateTransitive","Group","Group","isSubdivisionOfTransitive","TransitiveProperty","","2023-09-08 : Object property added, along with its inverse property, in order to enable to express current partitive relations between groups (the past partitive relation also being added). | 2023-11-12 : Updated the labels. | 2023-11-25 : Fixed the French label. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hasSubeventTransitive","has subevent transitive","est constitué de l’événement transitif","tiene como parte de evento transitivo","Connects an ongoing Event to one of a series of Events that directly or indirectly constitute that broader, ongoing Event. This is a transitive relation.","","","hasOrHadSubevent; hasPartTransitive","Event","Event","isSubeventOfTransitive","TransitiveProperty","","2023-09-08 : Object property added, along with its inverse property, in order to enable to express partitive relations between ongoing events (the past partitive relation also being added). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish. | 2024-10-21 : Fixed the Spanish label."
"rico:hasSubordinateTransitive","has subordinate transitive","a pour subalterne transitif","tiene como subordinado o subordinada a transitivo","Connects an Agent to an Agent that is directly or indirectly hierarchically inferior. This is a transitive relation.","","","hasOrHadSubordinate","Agent","Agent","isSubordinateToTransitive","TransitiveProperty","","2023-09-08 : Object property added, along with its inverse property, in order to enable to express current subordination relations between agents (the past subordination relation also being added). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hasSuccessor","has successor","a pour successeur","tiene como sucesor(a) a","Connects an Agent to another Agent that succeeds it chronologically.","There may be zero to many intermediate Agents, ignored or unknown, between the two connected Agents. Can be used when there is a transfer of function from the first Agent to the second Agent.","RIC-R016 ('has successor' relation)","isAgentAssociatedWithAgent; precedesInTime","Agent","Agent","isSuccessorOf","","thingIsSourceOfRelation/agentTemporalRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new agentTemporalRelation_role object property."
"rico:hasTitleType","has title type","a pour type de titre","tiene como tipo de título","Connects a Title and a Title Type that categorizes it.","","","hasOrHadType","Title","TitleType","isTitleTypeOf","","","2024-10-04 : Object property added along with TitleType class and isTitleTypeOf object property."
"rico:hasUnitOfMeasurement","has unit of measurement","a pour unité de mesure","tiene como unidad de medida","Connects an Extent to a Unit Of Measurement","","","isRelatedTo","Extent","UnitOfMeasurement","isUnitOfMeasurementOf","","","2023-08-28 : Added a new rdfs:label in French; added an xml:lang attribute to the rdfs:comment. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasWithin","has within","contient","tiene dentro","Inverse of 'is within' object property.","","RiC-R085i ('has within' relation)","hasOrHadPart; isAssociatedWithDate; isDateAssociatedWith","Date","Date","isWithin","","","2023-10-12 : Added the property | 2023-10-13 : made this property a subproperty of both isDateAssociatedWith and isAssociatedWithdate, and of hasOrHadPart. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:included","included","a inclus","incluía","Connects a Record Set to a Record or Record Set which it included in the past.","","","hadPart; includesOrIncluded","RecordSet","Record ; RecordSet","wasIncludedIn","","","2023-09-08 : Object property added, along with its inverse property, in order to enable to express past partitive relations between Record Sets and their members (the current partitive relations being also added, including a transitive one). | 2023-11-13 : Added a French label. | 2023-11-27 : Added a new rdfs:label in Spanish."
