"Object property name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subproperty of (rdfs:subPropertyOf)","Domain (rdfs:domain)","Range (rdsf:range)","Inverse of (owl:inverseOf)","Type (rdf:type)","Property chain axiom (owl:propertyChainAxiom)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:asConcernsActivity","as concerns activity","en ce qui concerne l’activité","en cuanto a actividad","Connects an Agent Temporal Relation or Mandate Relation, to an Activity that is, either transferred from an Agent to another one, or assigned by a Mandate to an Agent.",,,"relationHasContext","AgentTemporalRelation ; MandateRelation","Activity","activityIsContextOfRelation",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:authorityRelation_role","has the role of the Authority Relation","a le rôle de la Relation d’autorité","desempeña el papel de la Relación de control por parte de agentes","Connects a AuthorityRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the AuthorityRelation class. It should be used only when you have to manage instances of the AuthorityRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"relation_role","AuthorityRelation","AuthorityRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the AuthorityRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:authorizedBy","authorized by","autorisé par","controlado por","Inverse of 'authorizes' object property",,"RiC-R067i ('authorizedBy' relation)","isAssociatedWithRule","Agent","Mandate","authorizes",,"thingIsTargetOfRelation/mandateRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new mandateRelation_role object property."
"rico:authorizes","authorizes","autorise","controla","Connects a Mandate to the Agent that the Mandate gives the authority or competencies to act.",,"RiC-R067 ('authorizes' relation)","isRuleAssociatedWith","Mandate","Agent","authorizedBy",,"thingIsSourceOfRelation/mandateRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new mandateRelation_role object property."
"rico:authorizingAgent","authorizing agent","autorisation donnée par l’agent","autorización dada por el agente","Connects a Mandate Relation to an Agent that assigns the Mandate.",,,"relationHasContext","MandateRelation","Agent","isAuthorizingAgentInMandateRelation",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-13 : Fixed the rdfs:label in Spanish."
"rico:authorshipRelation_role","has the role of the Authorship Relation","a le rôle de la Relation de responsabilité intellectuelle","desempeña el papel de la Relación de autoría","Connects a AuthorshipRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the AuthorshipRelation class. It should be used only when you have to manage instances of the AuthorshipRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"creationRelation_role","AuthorshipRelation","AuthorshipRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the AuthorshipRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:childRelation_role","has the role of the Child Relation","a le rôle de la Relation de filiation","desempeña el papel de la Relación de filiación","Connects a ChildRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the ChildRelation class. It should be used only when you have to manage instances of the ChildRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"descendanceRelation_role","ChildRelation","ChildRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the ChildRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:contained","contained","a contenu","contenía","Connects a Place to a Place that it contained in the past.",,,"containsOrContained; hadPart","Place","Place","wasContainedBy",,,"2023-09-05 : Object property added, along with its inverse property, in order to enable to express past partitive relations between places (the current partitive relations being also added, including a transitive one). | 2023-11-12 : Updated the labels, description (rdfs:comment). | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:containsOrContained","contains or contained","contient ou a contenu","contiene o contenía","Connects a Place to a region that is or was within it.","Use for connecting two geographical or administrative regions.","RiC-R007 ('contains or contained' relation)","hasOrHadPart; isAssociatedWithPlace; isPlaceAssociatedWith","Place","Place","isOrWasContainedBy",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:containsTransitive","contains transitive","contient transitif","contiene transitivo",,,,"containsOrContained; hasPartTransitive","Place","Place","isContainedByTransitive","TransitiveProperty",,"2023-09-05 : Object property added, along with its inverse property, in order to enable to express current partitive relations between places (the past partitive relation also being added). | 2023-11-12 : Updated the description (rdfs:comment) and labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:correspondenceRelation_role","has the role of the Correspondence Relation","a le rôle de la Relation épistolaire","desempeña el papel de la Relación entre personas por correspondencia","Connects a CorrespondenceRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the CorrespondenceRelation class. It should be used only when you have to manage instances of the CorrespondenceRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"knowingRelation_role","CorrespondenceRelation","CorrespondenceRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the CorrespondenceRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:creationRelation_role","has the role of the Creation Relation","a le rôle de la Relation de création","desempeña el papel de la Relación de creación","Connects a CreationRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the CreationRelation class. It should be used only when you have to manage instances of the CreationRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"organicProvenanceRelation_role","CreationRelation","CreationRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the CreationRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:creationWithRole","creation with role","création avec pour rôle","creación con el rol de","Connects a Creation Relation to the Role Type that the creator Agent(s) has in the creation process",,,"relationHasContext","CreationRelation","RoleType","roleIsContextOfCreationRelation",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:derivationRelation_role","has the role of the Derivation Relation","a le rôle de la Relation de dérivation","desempeña el papel de la Relación de derivación","Connects a DerivationRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the DerivationRelation class. It should be used only when you have to manage instances of the DerivationRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"instantiationToInstantiationRelation_role; temporalRelation_role","DerivationRelation","DerivationRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the DerivationRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:descendanceRelation_role","has the role of the Descendance Relation","a le rôle de la Relation de descendance","desempeña el papel de la Relación de descendencia","Connects a DescendanceRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the DescendanceRelation class. It should be used only when you have to manage instances of the DescendanceRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"agentTemporalRelation_role; familyRelation_role","DescendanceRelation","DescendanceRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the DescendanceRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:describesOrDescribed","describes or described","décrit ou a décrit","describe o describía","Connects a Record Resource to a Thing that it describes or described.","Can be used, among other situations, for specifying that some finding aid (a Record that has Documentary Form Type Finding Aid) describes some Record Set.","RiC-R021 (describes or described)","hasOrHadSubject","RecordResource","Thing","isOrWasDescribedBy",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment)."
"rico:directlyContains","contains directly","contient directement","contiene directamente",,,,"containsTransitive; hasDirectPart","Place","Place","isDirectlyContainedBy",,,"2023-09-05 : Object property added, along with its inverse property, in order to enable to express current, direct, partitive relations between places (the possibly indirect, transitive relation, superproperty of this one, being also added). | 2023-11-12 : Updated the description (rdfs:comment) and labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:directlyFollowsInSequence","directly follows in sequence","suit directement dans la séquence","sigue directamente en la secuencia","Connects a Thing to a Thing that it follows directly in some non chronological sequence.",,,"followsInSequenceTransitive","Thing","Thing","directlyPrecedesInSequence",,,"2023-09-08 : Added transitive super-property and both present direct and past sequential relations as well as their respective inverse relations. | 2023-09-22 : Renamed the property and modified its definition (rdfs:comment) in order to better distinguish it from followsInTime. | 2023-11-12 : Updated the description (rdfs:comment) and labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:directlyIncludes","directly includes","inclut directement","incluye directamente","Connects a Record Set to a Record or Record Set which it includes directly.",,,"hasDirectPart; includesTransitive","RecordSet","Record ; RecordSet","isDirectlyIncludedIn",,,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express current, direct, partitive relations between Record Sets and their members (the possibly indirect, transitive relation, superproperty of this one, being also added). | 2023-11-12 : Updated the labels, description (rdfs:comment). | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:directlyPrecedesInSequence","directly precedes in sequence","précède directement dans la séquence","precede directamente en la secuencia","Connects a Thing to a Thing that it precedes directly in some non chronological sequence.",,,"precedesInSequenceTransitive","Thing","Thing","directlyFollowsInSequence",,,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express current, direct, sequential relations between things (the possibly indirect, transitive relation, superproperty of this one, being also added). | 2023-09-22 : Renamed the property and modified its definition (rdfs:comment) in order to better distinguish it from precedesInTime. | 2023-11-12 : Updated the description (rdfs:comment) and labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:documentedBy","documented by","est documenté par","se documenta en","Inverse of 'documents' object property.",,"RiC-R033i ('documented by' relation)","isOrganicOrFunctionalProvenanceOf; resultsOrResultedIn","Activity","Instantiation ; RecordResource","documents",,"thingIsTargetOfRelation/activityDocumentationRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-07 : Made this property a subproperty of the new isOrganicOrFunctionalProvenanceOf property. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new activityDocumentationRelation_role object property."
"rico:documents","documents","documente","documenta","Connects a Record Resource or an Instantiation to the Activity that generates the Record Resource or Instantiation.","To be used to describe the functional provenance of a Record Resource or Instantiation.","RiC-R033 ('documents' relation)","hasOrganicOrFunctionalProvenance; resultsOrResultedFrom","Instantiation ; RecordResource","Activity","documentedBy",,"thingIsSourceOfRelation/activityDocumentationRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-07 : Made this property a subproperty of the new hasOrganicOrFunctionalProvenance property. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new activityDocumentationRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote."
"rico:eventRelation_role","has the role of the Event Relation","a le rôle de la Relation impliquant un événement","desempeña el papel de la Relación con un evento","Connects a EventRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the EventRelation class. It should be used only when you have to manage instances of the EventRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"relation_role","EventRelation","EventRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the EventRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:evidences","evidences","atteste de","evidencia","Connects a Record Resource to a Relation, when the first is used for proving the existence of the second one, or for describing it.",,"Inverse of 'is evidenced by' object property.","thingIsConnectedToRelation","RecordResource","Relation","isEvidencedBy",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-12-27 : Renamed the object property (was 'is source of') and reduced its domain to Record Resource (the domain was the union of Record Resource and Agent) and its range to Relation (the range was the union of Record Resource and Relation). Consequently updated the superproperty, the labels, and added a rico:RiCCMCorrespondingComponent. Same for the inverse object property."
"rico:existsOrExistedIn","exists or existed in","existe ou a existé dans","existe o existía en","Connects a Position to a Group in which that Position exists or existed, or that is defined by that Group�s organizational structure.",,"RiC-R056 ('exists or existed in' relation)","isAgentAssociatedWithAgent","Position","Group","hasOrHadPosition",,"thingIsSourceOfRelation/positionToGroupRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new positionToGroupRelation_role object property."
"rico:expressesOrExpressed","expresses or expressed","exprime ou a exprimé","expresa o expresaba","Inverse of 'is or was expressed by' object property.",,"RiC-R064i ('expresses or expressed' relation)","isAssociatedWithRule","RecordResource","Rule","isOrWasExpressedBy",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:familyRelation_role","has the role of the Family Relation","a le rôle de la Relation familiale","desempeña el papel de la Relación familiar","Connects a FamilyRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the FamilyRelation class. It should be used only when you have to manage instances of the FamilyRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"agentToAgentRelation_role","FamilyRelation","FamilyRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the FamilyRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:followedInSequence","followed in sequence","a suivi dans la séquence","seguía en la secuencia transitivo","Connects a Thing to a Thing that it followed in some non chronological sequence in the past.",,,"followsOrFollowed","Thing","Thing","precededInSequence",,,"2023-09-08 : Added transitive super-property and both present direct and past sequential relations as well as their respective inverse relations. | 2023-09-22 : Renamed the property and modified its definition (rdfs:comment) in order to better distinguish it from followsInTime. | 2023-11-12 : Updated the description (rdfs:comment) and labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:followsInSequenceTransitive","follows in sequence transitive","suit dans la séquence transitif","sigue en la secuencia transitivo","Connects a Thing to a Thing that it directly or indirectly follows in some non chronological sequence.",,,"followsOrFollowed","Thing","Thing","precedesInSequenceTransitive","TransitiveProperty",,"2023-09-08 : Added transitive super-property and both present direct and past sequential relations as well as their respective inverse relations. | 2023-09-22 : Renamed the property and modified its definition (rdfs:comment) in order to better distinguish it from followsInTime. | 2023-11-12 : Updated the description (rdfs:comment) and labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:followsInTime","follows in time","suit dans le temps","sigue en el tiempo a","Inverse of 'precedes in time' object property. This is a transitive relation.",,"RiC-R009i ('follows in time' relation)","followsOrFollowed","Thing","Thing","precedesInTime","TransitiveProperty","thingIsTargetOfRelation/temporalRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-09-22 : Property made transitive. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new temporalRelation_role object property."
"rico:followsOrFollowed","follows or followed","suit ou a suivi","sigue o seguía a","Inverse of 'precedesOrPreceded' object property.",,"RiC-R008i ('follows or followed' relation)","isRelatedTo","Thing","Thing","precedesOrPreceded",,"thingIsTargetOfRelation/sequentialRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new sequentialRelation_role object property."
"rico:functionalEquivalenceRelation_role","has the role of the Functional Equivalence Relation","a le rôle de la Relation d’équivalence fonctionnelle","desempeña el papel de la Relación de equivalencia funcional","Connects a FunctionalEquivalenceRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the FunctionalEquivalenceRelation class. It should be used only when you have to manage instances of the FunctionalEquivalenceRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"instantiationToInstantiationRelation_role","FunctionalEquivalenceRelation","FunctionalEquivalenceRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the FunctionalEquivalenceRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:groupSubdivisionRelation_role","has the role of the Group Subdivision Relation","a le rôle de la Relation de subdivision entre groupes d’agents","desempeña el papel de la Relación de subdivisión entre grupos de agentes","Connects a GroupSubdivisionRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the GroupSubdivisionRelation class. It should be used only when you have to manage instances of the GroupSubdivisionRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"agentHierarchicalRelation_role; wholePartRelation_role","GroupSubdivisionRelation","GroupSubdivisionRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the GroupSubdivisionRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:hadComponent","had component","a eu pour composant","tenía como componente","Connects an Instantiation to another Instantiation that was its component in the past.",,,"hadPart; hasOrHadComponent","Instantiation","Instantiation","wasComponentOf",,,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express past partitive relations between instantiations (the current partitive relations being also added, including a transitive one). | 2023-11-12 : Updated the description (rdfs:comment) and labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hadConstituent","had constituent","a eu pour constituant","tenía como elemento constitutivo","Connects a Record or Record Part to another Record or Record Part that was its constituent in the past.",,,"hadPart; hasOrHadConstituent","Record ; RecordPart","Record ; RecordPart","wasConstituentOf",,,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express past partitive relations between Record and Record or Record Part (the current partitive relations being also added, including a transitive one). | 2023-10-26 : Added RecordPart to the domain. | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hadPart","had part","a eu pour partie","tenía como parte","Connects a Thing to a Thing that was a constitutive or component part of that Thing in the past.",,,"hasOrHadPart","Thing","Thing","wasPartOf",,,"2023-07-12 : Object property added, along with its inverse property, in order to enable to express past partitive relations between things (the current partitive relations being also added, including a transitive one). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hadSubdivision","had subdivision","a eu pour subdivision","tenía como subdivisión","Connects a Group to one of its past subdivisions.",,,"hadPart; hadSubordinate; hasOrHadSubdivision","Group","Group","wasSubdivisionOf",,,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express past partitive relations between groups (the current partitive relations being also added, including a transitive one). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hadSubevent","had subevent","a été constitué de l’événement","tenía como parte de evento","Connects a past Event to one of a series of past Events that constituted that original, broader, past Event.",,,"hadPart; hasOrHadSubevent","Event","Event","wasSubeventOf",,,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express partitive relations between past Events (the partitive relations between ongoing events being also added, including a transitive one). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hadSubordinate","had subordinate","a eu pour subalterne","tenía como subordinado o subordinada a","Connects an Agent to an Agent that was hierarchically inferior in the past.",,,"hasOrHadSubordinate","Agent","Agent","wasSubordinateTo",,,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express past subordination relations between Agents (the current subordination relations being also added, including a transitive one). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
